CD_ESTACAO;DT_MEDICAO;HR_MEDICAO;CHUVA
A803;2020-12-16;600;
A803;2020-12-16;700;
A803;2020-12-16;800;
A803;2020-12-16;900;
A803;2020-12-16;1000;
A803;2020-12-16;1100;
A803;2020-12-16;1300;
A803;2020-12-16;1400;
A803;2020-12-16;1500;
A803;2020-12-16;1700;
A803;2020-12-16;1800;
A803;2020-12-16;1900;
A803;2020-12-16;2100;
A803;2020-12-16;2200;
A803;2020-12-16;2300;
A803;2020-12-15;0;
A803;2020-12-15;100;
A803;2020-12-15;500;
A803;2020-12-15;600;
A803;2020-12-15;1000;
A803;2020-12-15;1100;
A803;2020-12-15;1300;0
A803;2020-12-15;1400;
A803;2020-12-15;1500;0
A803;2020-12-15;1600;0
A803;2020-12-15;1700;0
A803;2020-12-15;2100;
A803;2020-12-15;2300;
A803;2020-12-14;0;
A803;2020-12-14;100;
A803;2020-12-14;400;
A803;2020-12-14;600;
A803;2020-12-14;1200;
A803;2020-12-14;1300;0
A803;2020-12-14;1500;0
A803;2020-12-14;1600;
A803;2020-12-14;1800;
A803;2020-12-14;2000;
A803;2020-12-14;2100;
A803;2020-12-13;100;
A803;2020-12-13;200;
A803;2020-12-13;300;
A803;2020-12-13;400;
A803;2020-12-13;500;
A803;2020-12-13;700;
A803;2020-12-13;900;
A803;2020-12-13;1100;
A803;2020-12-13;1200;
A803;2020-12-13;1300;
A803;2020-12-13;1400;
A803;2020-12-13;1600;
A803;2020-12-13;1700;
A803;2020-12-13;1800;
A803;2020-12-13;1900;
A803;2020-12-13;2000;
A803;2020-12-13;2100;
A803;2020-12-13;2200;
A803;2020-12-13;2300;
A803;2020-12-12;0;
A803;2020-12-12;100;
A803;2020-12-12;200;
A803;2020-12-12;600;
A803;2020-12-12;700;
A803;2020-12-12;900;
A803;2020-12-12;1000;
A803;2020-12-12;1100;
A803;2020-12-12;1200;
A803;2020-12-12;1300;
A803;2020-12-12;1700;0
A803;2020-12-12;1800;0
A803;2020-12-12;2000;
A803;2020-12-12;2100;
A803;2020-12-12;2200;
A803;2020-12-12;2300;
A803;2020-12-11;100;
A803;2020-12-11;200;
A803;2020-12-11;300;
A803;2020-12-11;400;
A803;2020-12-11;500;
A803;2020-12-11;700;
A803;2020-12-11;1000;
A803;2020-12-11;1200;
A803;2020-12-11;1300;0
A803;2020-12-11;1500;0
A803;2020-12-11;1600;
A803;2020-12-11;2000;
A803;2020-12-11;2100;
A803;2020-12-10;0;
A803;2020-12-10;100;
A803;2020-12-10;400;
A803;2020-12-10;600;
A803;2020-12-10;1000;
A803;2020-12-10;1500;0
A803;2020-12-10;1700;0
A803;2020-12-10;2100;
A803;2020-12-10;2300;
A803;2020-12-09;0;
A803;2020-12-09;300;
A803;2020-12-09;500;
A803;2020-12-09;600;
A803;2020-12-09;700;
A803;2020-12-09;800;
A803;2020-12-09;900;
A803;2020-12-09;1000;
A803;2020-12-09;1200;
A803;2020-12-09;1300;
A803;2020-12-09;1500;0
A803;2020-12-09;1700;0
A803;2020-12-09;1900;
A803;2020-12-09;2000;
A803;2020-12-09;2100;
A803;2020-12-09;2200;
A803;2020-12-09;2300;
A803;2020-12-08;100;
A803;2020-12-08;700;
A803;2020-12-08;800;
A803;2020-12-08;1200;0
A803;2020-12-08;1300;0
A803;2020-12-08;1400;0
A803;2020-12-08;1500;0
A803;2020-12-08;1600;0
A803;2020-12-08;1700;0
A803;2020-12-08;1900;
A803;2020-12-08;2000;
A803;2020-12-08;2100;
A803;2020-12-08;2200;
A803;2020-12-08;2300;
A803;2020-12-07;0;
A803;2020-12-07;200;
A803;2020-12-07;500;
A803;2020-12-07;900;
A803;2020-12-07;1000;
A803;2020-12-07;1200;
A803;2020-12-07;1300;
A803;2020-12-07;1500;
A803;2020-12-07;1700;
A803;2020-12-07;1800;0
A803;2020-12-07;1900;
A803;2020-12-07;2000;
A803;2020-12-07;2100;
A803;2020-12-07;2200;
A803;2020-12-06;0;
A803;2020-12-06;100;
A803;2020-12-06;200;
A803;2020-12-06;300;
A803;2020-12-06;400;
A803;2020-12-06;500;
A803;2020-12-06;700;
A803;2020-12-06;800;
A803;2020-12-06;900;
A803;2020-12-06;1000;
A803;2020-12-06;1200;
A803;2020-12-06;1400;0
A803;2020-12-06;1500;
A803;2020-12-06;1700;
A803;2020-12-06;1800;
A803;2020-12-06;1900;
A803;2020-12-06;2000;
A803;2020-12-06;2300;
A803;2020-12-05;0;
A803;2020-12-05;100;
A803;2020-12-05;200;
A803;2020-12-05;400;
A803;2020-12-05;500;
A803;2020-12-05;700;
A803;2020-12-05;800;
A803;2020-12-05;900;
A803;2020-12-05;1000;
A803;2020-12-05;1200;
A803;2020-12-05;1300;
A803;2020-12-05;1400;0
A803;2020-12-05;1500;
A803;2020-12-05;1600;0
A803;2020-12-05;1700;0
A803;2020-12-05;1800;0
A803;2020-12-05;1900;
A803;2020-12-05;2000;
A803;2020-12-05;2300;
A803;2020-12-04;100;
A803;2020-12-04;400;
A803;2020-12-04;500;
A803;2020-12-04;600;
A803;2020-12-04;700;
A803;2020-12-04;800;
A803;2020-12-04;900;
A803;2020-12-04;1000;
A803;2020-12-04;1200;0
A803;2020-12-04;1400;
A803;2020-12-04;1600;
A803;2020-12-04;1800;
A803;2020-12-04;1900;
A803;2020-12-04;2000;
A803;2020-12-04;2200;
A803;2020-12-04;2300;
A803;2020-12-03;0;
A803;2020-12-03;100;
A803;2020-12-03;200;
A803;2020-12-03;300;
A803;2020-12-03;400;
A803;2020-12-03;600;
A803;2020-12-03;700;
A803;2020-12-03;800;
A803;2020-12-03;900;
A803;2020-12-03;1000;
A803;2020-12-03;1100;
A803;2020-12-03;1200;
A803;2020-12-03;1800;0
A803;2020-12-03;1900;
A803;2020-12-03;2000;
A803;2020-12-03;2100;
A803;2020-12-03;2300;
A803;2020-12-02;0;
A803;2020-12-02;100;
A803;2020-12-02;200;
A803;2020-12-02;400;
A803;2020-12-02;500;
A803;2020-12-02;1200;
A803;2020-12-02;1300;0
A803;2020-12-02;1400;0
A803;2020-12-02;1500;0
A803;2020-12-02;1800;
A803;2020-12-02;1900;
A803;2020-12-01;0;
A803;2020-12-01;300;
A803;2020-12-01;400;
A803;2020-12-01;500;
A803;2020-12-01;900;
A803;2020-12-01;1100;
A803;2020-12-01;1200;
A803;2020-12-01;1300;0
A803;2020-12-01;1700;0
A803;2020-12-01;1800;0
A803;2020-12-01;1900;
A803;2020-12-01;2100;
A803;2020-12-01;2200;
