Country Name;Country Code;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013
Austria;AUT;10861.65689;11400.47296;11630.93007;12034.69387;12686.89437;13043.39772;13683.10842;13989.74822;14539.71905;15398.94316;16779.86462;17559.61532;18541.61599;19340.9276;20069.1857;20049.3111;21004.33393;22062.8784;22034.2341;23254.14799;23656.76511;23562.46442;24019.13354;24773.24499;24787.50783;25394.94199;25962.87496;26298.58668;27126.92558;28054.69403;29051.631;29752.93332;30043.34943;29953.59369;30555.28999;31322.50669;32030.44093;32699.64337;33826.60253;34972.86362;36064.06429;36411.46655;36832.72947;36930.90134;37695.56245;38241.09136;39327.41222;40619.77668;41119.34964;39453.70847;40098.96397;41191.49156;41366.52452;41217.20239
Azerbaijan;AZE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1668.861664;1631.653004;1243.909737;942.1447084;746.3845984;650.7729675;652.6092669;683.8319393;745.1093495;793.2552113;874.0960829;953.2177059;1046.421451;1154.837787;1261.538908;1578.36733;2099.709751;2596.062924;2815.96538;3017.660145;3126.72404;3088.281619;3114.562464;3252.757665
Bahamas, The;BHS;13380.8902;14090.13796;14794.86664;15549.51647;16364.31435;17250.79911;18003.95641;18924.78036;19739.63798;20776.37717;19011.5764;18819.52086;17755.20978;18715.26888;15275.98342;12753.85996;13135.40015;14031.49223;15671.82594;19333.98753;20138.03296;17877.42228;18653.28635;18902.90113;21128.47208;21708.06282;21686.84559;21943.01284;22070.08433;23154.72321;22387.34682;21059.76391;19873.90831;19566.82984;19837.95545;20393.84833;20983.35301;21179.62922;21942.87266;23228.79895;23841.86714;24044.24751;24212.39305;23407.40338;23117.75815;23416.90369;23538.91317;23430.72172;22472.8829;21160.8618;21128.50974;21013.41191;20909.27933;20746.86052
Bahrain;BHR;;;;;;;;;;;;;;;;;;;;;17241.86402;15704.53743;14073.06004;14574.02956;14898.30479;13776.60254;13487.26497;14375.30266;14844.40445;14406.47102;14596.7703;15799.50871;16433.88256;18100.18613;17612.44705;17831.84385;18053.39215;18060.2528;18308.21104;18398.99598;18581.88342;18213.19873;18000.91356;18108.41947;18228.69911;18156.37747;17879.07764;17835.00273;17527.96299;16834.27888;16722.2598;16528.65851;16796.19305;17502.19222
Bangladesh;BGD;253.047474;260.9173999;267.5333891;258.8740702;278.9795927;275.0497331;273.3667809;259.7174902;275.5821195;271.1422309;279.517738;259.0486537;219.2761256;223.25226;240.7585761;226.4999022;233.887185;234.0140607;243.7214794;248.3251262;243.5109199;246.0128093;245.2158069;248.3903092;254.4153895;255.6989832;259.506284;262.0870035;260.7825873;260.8372204;269.627089;272.1710681;279.5384146;286.0500222;291.4636587;299.4400104;306.8012459;316.7459387;326.680632;336.0284051;349.5053669;361.5308916;371.2207558;384.6130799;402.8003635;421.1233114;443.667742;469.8331071;492.9951565;512.5567257;535.3063503;563.434793;593.0675879;621.1054497
Barbados;BRB;4895.329311;5255.23173;5708.841134;5395.577523;5642.471616;6265.873731;6498.987423;7174.112848;7653.505669;8205.280465;8950.306735;9252.117335;9311.623761;9374.168872;8884.003241;9194.31059;9154.19189;9531.688016;10097.55244;10849.63922;11331.54064;10928.12112;10335.84898;10305.16029;10600.51111;10605.8627;11556.32094;11626.48997;12305.31558;12878.09505;12216.85882;11822.84828;11200.29019;11278.53856;11694.35468;11835.96407;12020.19679;12753.96009;13240.22065;13540.12403;13801.26057;13393.86075;13422.51552;13620.6432;13746.78323;14224.98245;14962.62333;15138.08615;15115.78713;14418.78944;14383.67817;14420.36665;14349.55272;
Belarus;BLR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2328.933318;2299.85752;2074.59395;1912.618796;1690.824025;1519.882612;1567.667961;1753.804707;1910.187165;1981.82556;2103.058614;2219.516303;2346.386271;2529.079867;2838.062029;3126.367778;3460.131302;3774.997459;4174.018811;4191.605273;4524.158168;4783.53347;4870.982917;4913.517837
Belgium;BEL;11169.91416;11687.10991;12247.39399;12685.15915;13439.81695;13792.53751;14132.03564;14597.20229;15149.71288;16108.42968;17288.90738;17945.27881;18821.74199;19959.98474;20805.64491;20337.7614;21449.04514;21556.71477;22148.65998;22646.8116;23627.19399;23561.82845;23708.4606;23784.28317;24371.26059;24766.44519;25208.89029;25768.39607;26899.83351;27732.11409;28517.00727;28932.03574;29255.94889;28861.57884;29701.25416;30345.9348;30756.53395;31830.72859;32400.00762;33527.11785;34633.36479;34833.45462;35218.46175;35383.4312;36440.61742;36927.10434;37649.27444;38495.15584;38556.33972;37245.81707;37744.63244;37920.3469;37681.63931;37600.81772
Belize;BLZ;971.4427687;990.6377579;1010.426269;1031.10579;1052.155731;1072.291468;1090.334593;1109.850565;1157.09752;1183.560768;1210.826621;1232.411443;1333.173391;1381.211116;1544.469137;1576.487006;1553.981229;1632.636271;1736.838005;1836.525963;2073.349171;2051.507404;1992.604135;1896.534439;1879.133816;1846.507016;1878.228357;2032.50752;2162.480311;2386.057749;2580.77486;2794.815645;3074.54369;3209.454361;3152.122649;3101.695503;3065.824831;3085.751823;3107.335736;3281.372749;3604.656252;3683.375275;3770.901707;4017.694384;4098.250743;4097.538614;4176.751492;4116.528074;4143.082485;4069.057446;4101.051145;4085.590994;4140.016566;4103.894058
Benin;BEN;392.8875322;399.5793612;380.1489083;391.8523912;410.9610944;425.1554943;432.3076776;428.6460805;436.32073;439.7141627;439.5022814;423.575671;440.8053535;446.7394278;450.861249;418.4858021;411.7702903;421.364036;415.6318154;431.1420773;448.0587559;479.2311217;476.3396406;442.7897203;464.288573;484.89333;481.147219;460.2018666;461.730978;434.5599814;457.9400053;460.5987998;456.9661573;465.9450489;458.5706032;470.1358226;475.3253839;487.9689632;492.9466697;504.3318559;512.9552851;527.8744203;533.3831576;535.9535406;534.7388229;532.6109982;535.4940387;543.2931468;553.6371238;551.9289484;550.3216957;552.593708;566.7127251;582.8576465
